"AIDS Center of Queens County","Food pantry offering an HIV/AIDS diet. 
","","62-07 Woodside Avenue ","WOODSIDE","NY","11377","(718) 472-9400 x3366","","Tue, Thu: 10:00 AM - 12:00 PM","Call ahead.","Free.","Food Pantry, HIV/AIDS Diet","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"AIDS Center of Queens County","Food pantry offering an HIV/AIDS diet. 
","","161-21 Jamaica Avenue","JAMAICA","NY","11432","(718) 896-2500","","Tue, Thu: 8:30 AM - 11:30 AM","Call ahead.","Free.","Food Pantry, HIV/AIDS Diet","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"AIDS Center of Queens County","Food pantry offering an HIV/AIDS diet. 
","","1139 Foam Place","FAR ROCKAWAY","NY","11691","(718) 739-2525","","Wed, Fri: 11:00 AM - 1:00 PM","Call ahead.","Free.","Food Pantry, HIV/AIDS Diet","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"AIDS Faces NY Inc","Food pantry.","","123 West 115 Street ","NEW YORK","NY","10026","(212) 663-7772","","Thu: 10:00 AM - 1:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Abraham House","Food pantry.","","340 Willis Avenue","BRONX","NY","10454","(718) 292-9321","","Sat: 6:30 AM - 7:30 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Acts Community Development Corporation","Food pantry.","","2114 Mermaid Avenue","BROOKLYN","NY","11224","(718) 415-1170","","Tue: 6:30 PM - 7:30 PM; Thu: 11:00 AM - 1:00 PM ","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"African Service Committee","Food pantry.","","429 West 127th street","NEW YORK","NY","10027","(212) 222-3882","","Mon-Fri: 9:00 AM - 5:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"African Women's Dream, Inc","Food pantry.","","111-17 Sutphin Boulevard","JAMAICA","NY","11423","(347) 806-4154","","Tue: 4:00 PM - 5:00 PM; Sat: 10:00 AM - 11:00 AM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Agape Christian Center","Soup kitchen.","","59-02 Summerfield Street","RIDGEWOOD","NY","11385","(917) 604-4812","","Sat: 12:00 PM - 2:00 PM","Call ahead.","Free.","Soup Kitchen","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Agape Christian Center","Food pantry.","","59-02 Summerfield Street","RIDGEWOOD","NY","11385","(917) 604-4812","","Sat: 12:00 PM - 2:00 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
"Agape Social Service Beulah Church","Food pantry. ","","929 Marcy Avenue","BROOKLYN","NY","11216","(718) 484-3823","","Tue: 10:30 AM - 1:30 PM; Thu: 10:30 AM - 1:30 PM","Call ahead.","Free.","Food Pantry","","Eligibility restrictions may apply. Call for information.","","Call for information.","",""
